system,family,cv,setting,arm,comparator,n_seeds,seeds,endpoint,direction,arm_estimate,comparator_estimate,abs_diff,rel_pct,ci95,favorable_seeds,test,status,prereg,reference,artifact,regime,regime_basis,section,notes
gateway confirmatory v1,constructed model (entropic gateway),xi = x (longitudinal channel coordinate),"beta=16, s=0.1, r=32, beta*H=8 kT",practical mFR (fr_estimated),ABF,32,100-131,int_l2_f (time-integrated L2 free-energy error),lower is better; rel_pct<0 = arm better than comparator,0.937031,1.06927,-0.132239,-12.125,"[-14.50, -8.41]",31/32,"paired per seed; bootstrap median, 10000 resamples, seed 20260803",confirmatory,"results/gateway_anchor/CONFIRMATORY_PREREGISTRATION.{md,json}; frozen at cdb8209 (+Amendments 1-2 at 706d4c1, 7c7cde4)",analytic free energy (no reference error),results/gateway_anchor/confirmatory/confirmatory_summary.json,establishment-limited,"frozen ABF-only classifier (phase_classification.frozen.json, commit 61a8c1d), run before any FR arm existed. At the anchor: T_hit/T_run=0.040 (found early), T_est/T_run=0.465 (populated late), gap=0.430, below_half_frac=0.423, 0/16 seeds with late discovery",sec:gateway,primary criterion PASS; init=left; baseline noise-matched=False
gateway confirmatory v1,constructed model (entropic gateway),xi = x (longitudinal channel coordinate),"beta=16, s=0.1, r=32, beta*H=8 kT",practical mFR (fr_estimated),its own matched-turnover sham (sham_practical),32,100-131,int_l2_f (time-integrated L2 free-energy error),lower is better; rel_pct<0 = arm better than comparator,,,,-11.794,"[-14.10, -8.19]",31/32,"paired per seed; bootstrap median, 10000 resamples, seed 20260803",confirmatory,"results/gateway_anchor/CONFIRMATORY_PREREGISTRATION.{md,json}; frozen at cdb8209 (+Amendments 1-2 at 706d4c1, 7c7cde4)",analytic free energy (no reference error),results/gateway_anchor/confirmatory/confirmatory_summary.json,establishment-limited,"frozen ABF-only classifier (phase_classification.frozen.json, commit 61a8c1d), run before any FR arm existed. At the anchor: T_hit/T_run=0.040 (found early), T_est/T_run=0.465 (populated late), gap=0.430, below_half_frac=0.423, 0/16 seeds with late discovery",sec:gateway,"attribution statistic: same event schedule and count, only direction differs. POST HOC for v1 (added during v1 analysis); preregistered for the WCA sham"
gateway confirmatory v1,constructed model (entropic gateway),xi = x (longitudinal channel coordinate),"beta=16, s=0.1, r=32, beta*H=8 kT",matched-turnover sham (sham_practical),ABF,32,100-131,int_l2_f (time-integrated L2 free-energy error),lower is better; rel_pct<0 = arm better than comparator,1.06669,1.06927,-0.00258,0.352,"[-2.32, 2.84]",16/32,"TOST, alpha=0.05, 90% CI inside +/-5%",confirmatory,"results/gateway_anchor/CONFIRMATORY_PREREGISTRATION.{md,json}; frozen at cdb8209 (+Amendments 1-2 at 706d4c1, 7c7cde4)",analytic free energy (no reference error),results/gateway_anchor/confirmatory/confirmatory_summary.json,establishment-limited,"frozen ABF-only classifier (phase_classification.frozen.json, commit 61a8c1d), run before any FR arm existed. At the anchor: T_hit/T_run=0.040 (found early), T_est/T_run=0.465 (populated late), gap=0.430, below_half_frac=0.423, 0/16 seeds with late discovery",sec:gateway,"TOST 90% CI [-1.66, 2.62] -> EQUIVALENT"
gateway confirmatory v1,constructed model (entropic gateway),xi = x (longitudinal channel coordinate),"beta=16, s=0.1, r=32, beta*H=8 kT","practical mFR (fr_estimated), frozen-bias endpoint","ABF, frozen-bias endpoint",32,100-131,"frozen_l2_f_kT (F = B - kT log p_B, fresh population, no adaptation, no birth-death)",lower is better; rel_pct<0 = arm better than comparator,,,,-12.398,"[-16.93, -7.48]",26/32,"paired per seed; bootstrap median, 10000 resamples, seed 20260803",confirmatory,"results/gateway_anchor/CONFIRMATORY_PREREGISTRATION.{md,json}; frozen at cdb8209 (+Amendments 1-2 at 706d4c1, 7c7cde4)",analytic free energy (no reference error),results/gateway_anchor/confirmatory/confirmatory_summary.json,establishment-limited,"frozen ABF-only classifier (phase_classification.frozen.json, commit 61a8c1d), run before any FR arm existed. At the anchor: T_hit/T_run=0.040 (found early), T_est/T_run=0.465 (populated late), gap=0.430, below_half_frac=0.423, 0/16 seeds with late discovery",sec:gateway,estimator-independent endpoint; discards the online accumulators
gateway confirmatory v2 (replicate; quoted),constructed model (entropic gateway),xi = x (longitudinal channel coordinate),"beta=16, s=0.1, r=32, beta*H=8 kT",practical mFR (fr_estimated),ABF,32,100-131,int_l2_f (time-integrated L2 free-energy error),lower is better; rel_pct<0 = arm better than comparator,0.924746,1.0633,-0.138554,-12.478,"[-16.30, -9.84]",31/32,"paired per seed; bootstrap median, 10000 resamples, seed 20260803",confirmatory,"results/gateway_anchor/CONFIRMATORY_PREREGISTRATION.{md,json}; frozen at cdb8209 (+Amendments 1-2 at 706d4c1, 7c7cde4)",analytic free energy (no reference error),results/gateway_anchor/confirmatory_v2/confirmatory_summary.json,establishment-limited,"frozen ABF-only classifier (phase_classification.frozen.json, commit 61a8c1d), run before any FR arm existed. At the anchor: T_hit/T_run=0.040 (found early), T_est/T_run=0.465 (populated late), gap=0.430, below_half_frac=0.423, 0/16 seeds with late discovery",sec:gateway,primary criterion PASS; init=left; baseline noise-matched=True
gateway confirmatory v2 (replicate; quoted),constructed model (entropic gateway),xi = x (longitudinal channel coordinate),"beta=16, s=0.1, r=32, beta*H=8 kT",practical mFR (fr_estimated),its own matched-turnover sham (sham_practical),32,100-131,int_l2_f (time-integrated L2 free-energy error),lower is better; rel_pct<0 = arm better than comparator,,,,-14.949,"[-16.22, -12.34]",32/32,"paired per seed; bootstrap median, 10000 resamples, seed 20260803",confirmatory,"results/gateway_anchor/CONFIRMATORY_PREREGISTRATION.{md,json}; frozen at cdb8209 (+Amendments 1-2 at 706d4c1, 7c7cde4)",analytic free energy (no reference error),results/gateway_anchor/confirmatory_v2/confirmatory_summary.json,establishment-limited,"frozen ABF-only classifier (phase_classification.frozen.json, commit 61a8c1d), run before any FR arm existed. At the anchor: T_hit/T_run=0.040 (found early), T_est/T_run=0.465 (populated late), gap=0.430, below_half_frac=0.423, 0/16 seeds with late discovery",sec:gateway,"attribution statistic: same event schedule and count, only direction differs. POST HOC for v1 (added during v1 analysis); preregistered for the WCA sham"
gateway confirmatory v2 (replicate; quoted),constructed model (entropic gateway),xi = x (longitudinal channel coordinate),"beta=16, s=0.1, r=32, beta*H=8 kT",matched-turnover sham (sham_practical),ABF,32,100-131,int_l2_f (time-integrated L2 free-energy error),lower is better; rel_pct<0 = arm better than comparator,1.07014,1.0633,0.00684,1.915,"[-2.35, 6.08]",14/32,"TOST, alpha=0.05, 90% CI inside +/-5%",confirmatory,"results/gateway_anchor/CONFIRMATORY_PREREGISTRATION.{md,json}; frozen at cdb8209 (+Amendments 1-2 at 706d4c1, 7c7cde4)",analytic free energy (no reference error),results/gateway_anchor/confirmatory_v2/confirmatory_summary.json,establishment-limited,"frozen ABF-only classifier (phase_classification.frozen.json, commit 61a8c1d), run before any FR arm existed. At the anchor: T_hit/T_run=0.040 (found early), T_est/T_run=0.465 (populated late), gap=0.430, below_half_frac=0.423, 0/16 seeds with late discovery",sec:gateway,"TOST 90% CI [-1.87, 5.40] -> NOT shown equivalent"
gateway confirmatory v2 (replicate; quoted),constructed model (entropic gateway),xi = x (longitudinal channel coordinate),"beta=16, s=0.1, r=32, beta*H=8 kT","practical mFR (fr_estimated), frozen-bias endpoint","ABF, frozen-bias endpoint",32,100-131,"frozen_l2_f_kT (F = B - kT log p_B, fresh population, no adaptation, no birth-death)",lower is better; rel_pct<0 = arm better than comparator,,,,-10.189,"[-13.65, -5.95]",24/32,"paired per seed; bootstrap median, 10000 resamples, seed 20260803",confirmatory,"results/gateway_anchor/CONFIRMATORY_PREREGISTRATION.{md,json}; frozen at cdb8209 (+Amendments 1-2 at 706d4c1, 7c7cde4)",analytic free energy (no reference error),results/gateway_anchor/confirmatory_v2/confirmatory_summary.json,establishment-limited,"frozen ABF-only classifier (phase_classification.frozen.json, commit 61a8c1d), run before any FR arm existed. At the anchor: T_hit/T_run=0.040 (found early), T_est/T_run=0.465 (populated late), gap=0.430, below_half_frac=0.423, 0/16 seeds with late discovery",sec:gateway,estimator-independent endpoint; discards the online accumulators
gateway establishment map (ABF only),constructed model (entropic gateway),xi = x,"128 cells: beta x s x r = 4 x 4 x 4, 2 inits",ABF only,n/a (classification screen),16,0-15,regime label from T_hit_frac / est_gap_frac / below_half_frac,lower is better; rel_pct<0 = arm better than comparator,,,,,,,frozen threshold rule,preregistered screen,results/gateway_phase/production/PREREGISTRATION.md; frozen at 61a8c1d,analytic free energy,results/gateway_phase/production/phase_classification.frozen.json,map: 32 ABF-sufficient / 42 intermediate / 54 establishment-limited / 0 discovery-limited,the frozen classifier itself,sec:gateway,"classification and anchor frozen before any FR arm ran; the beta axis is a TIME-BUDGET axis (beta*H fixed), not a landscape axis"
"WCA dimer, matched sham (Case IX)",many-body condensed phase,xi = dimer bond coordinate,"cell b1_h2: beta=1, h=2, w=2, M=100, a=1.5; N=1024; 120000 steps; FR rate 0.10",practical mFR (fr_estimated),ABF,16,400-415,integrated_l2_f (time-integrated L2 free-energy error),lower is better; rel_pct<0 = arm better than comparator,30.9902,39.9663,-8.9761,-22.832,"[-25.42, -17.34]",16/16,"paired per seed; bootstrap median, 10000 resamples, seed 20260803",confirmatory,"results/wca_sham/PREREGISTRATION.md; frozen at 9e7496d, run at fc29d5e",cached thermodynamic-integration reference (cache/phase),results/wca_sham/sham/sham_summary.json,establishment-limited,state is reached by every arm (round trips equal within ~1.3%); the deficit is post-discovery representation,sec:wca_sham,
